epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7158,3.07206,3.55788,2.49118,0.01152,0.015,0.00286,0.00064,3.51516,4.05003,2.47654,0.00010002,0.00010002,0.00010002
2,94.3094,2.23406,2.13211,1.711,0.01007,0.055,0.00478,0.00104,3.65062,4.46013,2.64533,0.000209559,0.000209559,0.000209559
3,140.487,1.54966,1.50297,1.37856,0.00348,0.21,0.0024,0.00057,3.62463,5.17094,2.60748,0.000311396,0.000311396,0.000311396
4,186.537,1.35055,1.23041,1.28347,0.00132,0.0625,0.00071,0.00018,3.64165,5.22834,2.64298,0.000405531,0.000405531,0.000405531
5,232.59,1.04506,0.90099,1.07087,8e-05,0.005,4e-05,1e-05,3.51268,6.05914,2.60102,0.000491965,0.000491965,0.000491965
6,279.022,0.91796,0.7324,1.02043,0.0002,0.0125,0.0001,2e-05,3.43978,5.95817,2.45276,0.000570697,0.000570697,0.000570697
7,324.899,0.89597,0.656,0.99555,0.00026,0.0175,0.00013,2e-05,3.99033,5.75422,2.86413,0.000641728,0.000641728,0.000641728
8,370.969,0.8787,0.61406,0.99936,0,0,0,0,4.16677,5.54942,3.12133,0.000705058,0.000705058,0.000705058
9,417.046,0.7988,0.5673,0.95175,0.0007,0.0275,0.00044,5e-05,4.07452,5.2564,3.14735,0.000760685,0.000760685,0.000760685
10,463.091,0.70462,0.52468,0.94922,9e-05,0.0025,4e-05,0,4.05871,5.52177,3.04535,0.000808612,0.000808612,0.000808612
11,509.14,0.66955,0.51914,0.93532,0,0,0,0,4.1046,5.407,2.9825,0.000848836,0.000848836,0.000848836
12,555.189,0.6458,0.47734,0.90816,0.00018,0.005,9e-05,1e-05,3.985,5.50471,2.88047,0.00088136,0.00088136,0.00088136
13,601.096,0.61943,0.46627,0.91552,0.00045,0.01,0.00023,2e-05,4.00204,5.5428,2.9019,0.000906181,0.000906181,0.000906181
14,646.853,0.6439,0.4679,0.92295,0.00016,0.0025,8e-05,1e-05,3.88603,5.31264,2.837,0.000923301,0.000923301,0.000923301
15,692.78,0.5852,0.42253,0.88934,0.00078,0.0125,0.00041,6e-05,3.84149,4.93044,2.76777,0.000896846,0.000896846,0.000896846
16,738.764,0.56871,0.43346,0.88302,0.00122,0.0175,0.00063,0.00012,3.77318,4.89746,2.74045,0.000841835,0.000841835,0.000841835
17,784.739,0.55789,0.40277,0.90628,0.0031,0.04,0.00162,0.00034,3.81058,4.78026,2.74281,0.000786824,0.000786824,0.000786824
18,830.697,0.50035,0.36325,0.85269,0.00436,0.0425,0.0023,0.00035,3.95534,4.76247,2.79412,0.000731813,0.000731813,0.000731813
19,876.7,0.53119,0.38085,0.85528,0.00332,0.035,0.00178,0.00034,4.00096,4.50426,2.79709,0.000676802,0.000676802,0.000676802
20,922.528,0.51843,0.39074,0.86659,0.00306,0.03,0.00159,0.00021,4.01359,4.59992,2.70862,0.000621791,0.000621791,0.000621791
21,968.219,0.55378,0.38667,0.87512,0.00174,0.02,0.00089,0.00013,4.04296,4.65721,2.66356,0.00056678,0.00056678,0.00056678
22,1013.73,0.50197,0.34568,0.86518,0.00094,0.0125,0.00048,7e-05,4.07363,4.75518,2.55919,0.000511769,0.000511769,0.000511769
23,1059.25,0.44835,0.32099,0.85381,0.00078,0.01,0.0004,6e-05,4.16351,4.71803,2.58164,0.000456758,0.000456758,0.000456758
24,1104.93,0.41562,0.31226,0.84686,0.00177,0.0175,0.00091,0.00016,4.11498,4.65423,2.57082,0.000401747,0.000401747,0.000401747
25,1150.47,0.39647,0.29828,0.84396,0.00318,0.025,0.00164,0.00029,4.0782,4.65633,2.56409,0.000346736,0.000346736,0.000346736
26,1195.93,0.43877,0.30554,0.84977,0.00353,0.015,0.0018,0.00036,3.9885,4.7251,2.53171,0.000291725,0.000291725,0.000291725
27,1241.97,0.3694,0.27562,0.81981,0.00229,0.0075,0.00116,0.00019,3.98371,4.83432,2.51351,0.000236714,0.000236714,0.000236714
28,1287.67,0.39919,0.28252,0.84343,0.0011,0.0025,0.00055,0.00011,3.96756,4.9484,2.51204,0.000181703,0.000181703,0.000181703
29,1333.11,0.35214,0.26245,0.83398,0.00124,0.0025,0.00062,0.00012,3.96007,4.98463,2.5095,0.000126692,0.000126692,0.000126692
30,1379.15,0.39833,0.28335,0.848,0.00145,0.0025,0.00073,7e-05,3.97023,5.01122,2.49881,7.1681e-05,7.1681e-05,7.1681e-05
